ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
12144255,126020104,107090203,1,4,3
10997421,107070109,107020713,1,896,734
11690007,112070103,107020705,1,11,9
17138770,118120401,112070101,2,459,261
19771797,118120402,133190202,3,12,6
17340059,124020103,118140202,2,9,6
11915349,118130501,107010202,1,28,23
11351003,107140012,107020611,1,341,279
18965422,107090111,126010210,3,5,3
15935895,103030304,132010000,2,15,7
20466470,133210106,102030403,3,28,15
12863848,132120202,132040205,1,6,5
18890357,107070109,107160018,3,3477,2057
18878773,107070102,107080005,3,231,137
18904924,107070204,107150001,3,102,60
19053809,107100205,107020109,3,481,285
11368631,107150009,101030305,1,68,56
19794994,118130304,103040204,3,4,2
11379350,107150015,126030301,1,6,5
17603580,128040201,101020103,2,16,7
13105081,348030200,122000007,1,6,4
10754269,107010208,107100308,1,1359,1114
11904228,118130305,107090413,1,6,5
19320789,108000301,130000101,3,23,13
18645201,107010207,107080001,3,32,19
19789536,118130200,129020201,3,9,5
18861576,107040204,124020201,3,136,81
11056553,107090101,126020105,1,12,10
18488125,102020303,110010102,3,2,1
12152908,126020205,118140401,1,3,2
14790384,126020210,126010103,4,472,344
18950818,107090102,126010107,3,7,4
11896226,118130200,107130108,1,9,8
17148631,118120407,118130200,2,40261,22875
19596269,112070203,118140404,3,50,23
16410039,107100112,107040102,2,21,14
18957172,107090106,118130404,3,8,5
18871496,107040210,130000102,3,5,3
19045746,107100115,107020411,3,294,174
20355777,133140403,133230005,3,307,164
11998766,118150604,118120302,1,189,155
11458376,110020200,110010101,1,484,375
15907140,102030405,107020120,2,70,40
12533554,133190203,107090403,1,2,1
20563883,104000700,107020101,3,71,35
16447201,107100308,106000702,2,69,45
20524917,104000102,107010107,3,33,16
19565612,112060203,126060202,3,30,13
19319899,108000301,107020709,3,8,4
11203597,107100504,107110204,1,486,399
18807601,107020606,107140012,3,78,46
16615823,107140014,102020505,2,13,8
18028016,132040103,128030101,2,3,2
19649900,113010403,126010107,3,3,1
18661273,107010305,107010406,3,775,459
19107495,107100511,107090107,3,201,119
11211935,107100509,112020502,1,7,6
16450635,107100402,107080001,2,688,444
19953974,124010102,107010108,3,8,5
18823672,107020704,107090405,3,11,7
19146668,107110307,110020402,3,4,2
